acc_within_10deg_mean,angle_mae_std,d_freq,epsilon,false_alarms_mean,freq_high_hz,freq_low_hz,layout_mae_std,mae_deg_matched_mean,mdl_beta,misses_mean,nfft,overlap,power_thresh_percentile,recall_mean,runtime_seconds_mean,state,trial_number,value,window_ms
0.25,12.830589364386189,,,0.0,3000,500,2.46875,52.90625,3.0,0.0,480,0.5,80,1.0,1.9818792879232205,COMPLETE,0,0.45643495884428,30
0.375,13.553100141203858,,,0.0,5400,750,6.84375,47.90625,6.874915134787076,0.0,2960,0.6000000000000001,97,1.0,1.0996896621072665,COMPLETE,1,0.4778566197930754,185
0.34375,12.95258782058628,,,0.0,1550,1150,8.59375,47.1875,1.7301898549573913,0.0,2720,0.55,85,1.0,0.7689622131292708,COMPLETE,2,0.47032033957921215,170
0.28125,13.89595827030292,,,0.0,5000,250,3.40625,51.1875,4.118253916565094,0.0,480,0.75,84,1.0,4.817019729613094,COMPLETE,3,0.4607294554225447,30
0.34375,17.819844976879008,,,0.0,5000,250,9.625,55.4375,7.34807028959554,0.0,3760,0.65,74,1.0,5.564136609173147,COMPLETE,4,0.4678934445296734,235
0.40625,16.203712621938685,,,0.0,2800,1100,7.078125,48.734375,2.9709986867497773,0.0,2320,0.3,97,1.0,0.6247813399822917,COMPLETE,5,0.483846308630926,145
0.25,19.718174268536504,,,0.0,2950,1150,4.171875,50.484375,4.0526035525055075,0.0,560,0.4,77,1.0,1.5119133583211806,COMPLETE,6,0.45145715767088446,35
0.1875,13.813127460295695,,,0.0,2300,350,2.953125,51.484375,7.559421447925425,0.0,2400,0.9,79,1.0,6.476270666520577,COMPLETE,7,0.441135025309048,150
0.34375,20.52056300054594,,,0.0,5400,850,6.828125,49.953125,4.113681530683579,0.0,3360,0.4,84,1.0,2.311824702337617,COMPLETE,8,0.4694105760780283,210
0.28125,16.38033667808754,,,0.0,2100,1200,5.0,53.71875,3.791823232419683,0.0,3200,0.35,57,1.0,1.303389418113511,COMPLETE,9,0.45747642513317716,200
0.25,16.752324640460355,,,0.0,1700,1050,5.296875,54.578125,6.910871023348413,0.0,3360,0.7,57,1.0,1.814208662864985,COMPLETE,10,0.4501300035082385,210
0.28125,17.992450402443108,,,0.0,2100,950,5.453125,54.609375,2.6286030114426446,0.0,3200,0.55,71,1.0,1.4895835807838012,COMPLETE,11,0.45662747104474644,200
0.3125,18.36680700637362,,,0.0,3300,700,4.484375,52.671875,4.55947058059094,0.0,3600,0.25,76,1.0,1.603603745577857,COMPLETE,12,0.46473105120653413,225
0.1875,13.7924681523785,,,0.0,2100,250,2.234375,54.515625,0.8415546021331548,0.0,2720,0.3,64,1.0,1.6976862271840218,COMPLETE,13,0.44307715204771553,170
0.25,20.409073311581302,,,0.0,4150,1150,7.40625,60.96875,2.143461006865536,0.0,2960,0.9,63,1.0,17.306039951829007,COMPLETE,14,0.4474020641596357,185
0.3125,14.185357423567975,,,0.0,4600,750,2.8281249999999964,48.265625,2.419300324011214,0.0,4000,0.9,88,1.0,7.104183763352921,COMPLETE,15,0.4692395929176,250
0.34375,13.717637696935103,,,0.0,4100,400,5.859375,48.859375,4.5227778571138675,0.0,1280,0.55,96,1.0,0.9096337282389868,COMPLETE,16,0.4715500988768504,80
0.28125,11.336634734760356,,,0.0,4400,150,3.390625,49.046875,0.581508460423529,0.0,1440,0.9,95,1.0,3.317552179796621,COMPLETE,17,0.46184326353370136,90
0.375,13.83016404458024,,,0.0,4900,550,4.53125,48.125,7.857073335414926,0.0,1680,0.9,96,1.0,2.762145307933679,COMPLETE,18,0.4798843168943615,105
0.34375,11.892985967971835,,,0.0,5700,750,6.1718750000000036,47.10937499999999,7.483773419152429,0.0,2000,0.9,98,1.0,1.873605151398806,COMPLETE,19,0.4720918260017125,125
0.34375,12.582695210089133,,,0.0,6000,800,6.343750000000007,47.93749999999999,6.802761214487621,0.0,1760,0.9,98,1.0,1.9054741472064052,COMPLETE,20,0.4716194621456751,110
