acc_within_10deg_mean,angle_mae_std,d_freq,epsilon,false_alarms_mean,freq_high_hz,freq_low_hz,layout_mae_std,mae_deg_matched_mean,mdl_beta,misses_mean,nfft,overlap,power_thresh_percentile,recall_mean,runtime_seconds_mean,state,trial_number,value,window_ms
0.3125,18.56607709641431,8,0.1,0.0,3000,200,2.6249999999999893,62.187500000000014,,0.3125,480,0.5,,0.84375,2.1281538659823127,COMPLETE,0,0.41090236058967594,30
0.3125,19.295299783885206,15,0.280799777948929,0.0,2400,500,5.687499999999993,61.93750000000001,,0.3125,1760,0.75,,0.84375,2.021006602968555,COMPLETE,1,0.4057578629359496,110
0.3125,19.47103216961032,8,0.28506918963911815,0.0,5300,900,5.499999999999993,62.18750000000001,,0.3125,2000,0.45,,0.84375,3.2059431369125377,COMPLETE,2,0.40588616298354435,125
0.3125,18.69063518851085,10,0.08185041865917114,0.0,5500,800,2.812499999999993,62.06250000000001,,0.25,3360,0.6000000000000001,,0.875,2.464359299483476,COMPLETE,3,0.4205461224093607,210
0.34375,19.383843747758082,6,0.42757686791944627,0.0,2100,900,4.031249999999993,60.65625000000001,,0.25,2240,0.9,,0.875,5.7882189280644525,COMPLETE,4,0.4248845049800313,140
0.28125,18.578144711932357,12,0.3842155916870193,0.0,2200,450,2.03125,62.468750000000014,,0.25,3760,0.7,,0.875,2.0044226118188817,COMPLETE,5,0.41636225365365453,235
0.3125,18.618051346408414,7,0.33704525316406303,0.0,2600,250,2.59375,62.03125,,0.25,3680,0.6000000000000001,,0.875,2.6703731763991527,COMPLETE,6,0.42119838639549584,230
0.3125,19.61521949756107,10,0.4332718254068818,0.0,2300,350,5.78125,62.28125000000001,,0.25,2240,0.75,,0.875,2.561473019362893,COMPLETE,7,0.4157998293247184,140
0.3125,12.313451739865647,1,0.2355294479411361,0.0,2100,250,7.875,59.9375,,0.1875,3600,0.7,,0.90625,13.898455633665435,COMPLETE,8,0.4268644708137506,225
0.34375,11.78945337738355,1,0.05927648738788492,0.0,4200,550,6.53125,58.21875,,0.1875,2880,0.8,,0.90625,60.34972316384665,COMPLETE,9,0.43487116343266713,180
0.34375,19.316039319694926,9,0.28407639868442003,0.0,3700,800,4.3124999999999964,60.62500000000001,,0.25,3680,0.35,,0.875,1.8784842958848458,COMPLETE,10,0.4244758974781436,230
0.3125,18.623925094820912,8,0.3817176537623234,0.0,2400,250,2.9062500000000036,61.78125,,0.25,2160,0.45,,0.875,1.6728294542408548,COMPLETE,11,0.42032598907102137,135
0.34375,19.390719429665317,11,0.20891521308591904,0.0,4700,1200,4.1874999999999964,60.87500000000001,,0.3125,1600,0.9,,0.84375,9.010320050409064,COMPLETE,12,0.41443041475929665,100
0.3125,18.354580490983725,13,0.256368911882922,0.0,2500,900,2.5624999999999964,62.375,,0.25,3360,0.25,,0.875,0.8361440890876111,COMPLETE,13,0.4213118393446687,210
0.3125,19.380014472066332,14,0.03233784927232,0.0,1900,800,4.5312499999999964,60.71875,,0.25,1520,0.25,,0.875,0.525499488809146,COMPLETE,14,0.4172864586278127,95
0.3125,9.784743784969534,1,0.16024193932702194,0.0,4400,1200,5.406249999999993,62.21875000000001,,0.125,880,0.9,,0.9375,117.02799869515002,COMPLETE,15,0.4407194111929318,55
