acc_within_10deg_mean,angle_mae_std,d_freq,epsilon,false_alarms_mean,freq_high_hz,freq_low_hz,layout_mae_std,mae_deg_matched_mean,mdl_beta,misses_mean,nfft,overlap,power_thresh_percentile,recall_mean,runtime_seconds_mean,state,trial_number,value,window_ms
0.375,29.246911562376976,,,0.0,3000,200,17.03125,42.46875,,0.875,480,0.5,,0.5625,1.5767151917389128,COMPLETE,0,0.3388535541908553,30
0.4375,35.04170227653759,,,0.0,3900,100,17.59375,38.65625,,0.8125,2400,0.5,,0.59375,3.1657857391110156,COMPLETE,1,0.36071290711585596,150
0.34375,29.19758591797445,,,0.0,5200,100,9.90625,45.40625,,0.8125,3760,0.55,,0.59375,5.29265847770148,COMPLETE,2,0.34082607858667874,235
0.53125,31.00226806219184,,,0.0,1800,1100,5.1875,38.0,,0.75,1680,0.7,,0.625,1.3565885341376998,COMPLETE,3,0.39397824984353214,105
0.4375,26.21647785148684,,,0.0,4200,1200,20.03125,38.28125,,0.875,480,0.5,,0.5625,1.497403538407525,COMPLETE,4,0.35324370998396726,30
0.3125,37.849710513258884,,,0.0,5500,500,5.96875,52.28125,,0.75,2640,0.35,,0.625,3.3355563404620625,COMPLETE,5,0.3427362504714893,165
0.28125,29.484751753024817,,,0.0,5400,1200,7.84375,52.96875,,0.8125,640,0.6000000000000001,,0.59375,2.5990786112088244,COMPLETE,6,0.32700683428753696,40
0.40625,25.73027156871843,,,0.0,3300,200,19.125,40.125,,0.875,2160,0.65,,0.5625,3.314463752642041,COMPLETE,7,0.34615205657290904,135
0.375,29.113849126103197,,,0.0,2700,750,14.46875,42.28125,,0.8125,2240,0.6000000000000001,,0.59375,1.9920299242367037,COMPLETE,8,0.347091601832793,140
0.1875,31.81655180483894,,,0.0,5700,300,4.4375,59.3125,,0.5625,2960,0.65,,0.71875,6.468803811236285,COMPLETE,9,0.34158376076124053,185
0.34375,23.19752141932409,,,0.0,1600,350,6.3125,49.125,,0.5625,3280,0.8,,0.71875,2.7151419700239785,COMPLETE,10,0.3757347156811482,205
0.34375,29.035807634712004,,,0.0,2400,900,6.5625,42.5,,0.6875,1600,0.5,,0.65625,1.3943192370061297,COMPLETE,11,0.3590445347038556,100
0.375,26.906213704969712,,,0.0,2500,250,10.59375,37.96875,,0.75,2800,0.75,,0.625,2.8031867064419203,COMPLETE,12,0.3568700984729622,175
0.34375,30.062418788871597,,,0.0,2000,900,6.84375,40.40625,,0.75,720,0.8,,0.625,1.3700926846941002,COMPLETE,13,0.3509729077711888,45
0.3125,28.578547871392978,,,0.0,1600,700,1.09375,50.65625,,0.6875,240,0.55,,0.65625,1.1809576664527413,COMPLETE,14,0.36492670837561897,15
0.375,32.30228320103704,,,0.0,4900,800,16.0,43.5,,0.9375,2400,0.45,,0.53125,2.692856270528864,COMPLETE,15,0.3309566763516058,150
0.40625,25.994722270828362,,,0.0,3200,450,18.46875,39.53125,,0.875,2640,0.55,,0.5625,2.29343796565081,COMPLETE,16,0.3463039275490449,165
0.40625,26.3022545373966,,,0.0,3400,600,18.6875,40.1875,,0.875,2000,0.8,,0.5625,3.9615711329097394,COMPLETE,17,0.3461381300194002,125
0.4375,26.32838000618344,,,0.0,4300,1100,19.9375,38.1875,,0.875,640,0.8,,0.5625,3.0404926394694485,COMPLETE,18,0.35326146997529245,40
0.375,27.686794573406292,,,0.0,1600,500,3.0,44.6875,,0.625,3920,0.8500000000000001,,0.6875,2.7071481326420326,COMPLETE,19,0.37875405601474865,245
0.28125,21.80990314054604,,,0.0,1500,450,3.875,45.0,,0.625,3760,0.8,,0.6875,2.2529574068030342,COMPLETE,20,0.35682845760357723,235
0.28125,21.827090392445808,,,0.0,1500,400,3.4375,45.125,,0.625,3760,0.9,,0.6875,3.511748311924748,COMPLETE,21,0.357617759275366,235
0.375,27.65861571802718,,,0.0,1600,500,3.15625,44.59375,,0.625,3920,0.9,,0.6875,3.1355964169779327,COMPLETE,22,0.378393674448664,245
0.28125,21.8304680650118,,,0.0,1500,450,2.90625,45.78125,,0.625,3440,0.8500000000000001,,0.6875,2.360785440541804,COMPLETE,23,0.35875204650988674,215
0.3125,27.567814113563664,,,0.0,1600,450,2.875,45.0,,0.625,3520,0.9,,0.6875,3.041571270325221,COMPLETE,24,0.3652907393180152,220
0.375,27.720969471457884,,,0.0,1600,500,3.03125,45.09375,,0.625,3520,0.9,,0.6875,3.0996401625452563,COMPLETE,25,0.37861617501438255,220
0.40625,30.29269649498869,,,0.0,2000,1050,5.84375,38.96875,,0.75,1520,0.9,,0.625,1.899412937957095,COMPLETE,26,0.3657144216926949,95
0.375,21.996004608792024,,,0.0,2300,1050,10.5,37.6875,,0.875,1520,0.9,,0.5625,2.48704751994228,COMPLETE,27,0.34159185241337164,95
0.34375,29.7146421977028,,,0.0,2200,600,7.34375,41.28125,,0.75,1360,0.9,,0.625,2.6303552063473035,COMPLETE,28,0.35053924544209153,85
0.34375,30.01898813147272,,,0.0,2100,550,7.15625,40.90625,,0.75,1600,0.9,,0.625,3.283075263752835,COMPLETE,29,0.35069377889323705,100
0.40625,30.203331123197323,,,0.0,2100,350,6.09375,38.78125,,0.75,3360,0.9,,0.625,4.436270607577171,COMPLETE,30,0.3655493078781465,210
